regime,seed,attack,auc,tpr_at_0001_fpr,tpr_at_001_fpr,balanced_accuracy
scratch,42,loss,0.5389,0.0004,0.0103,0.5518
scratch,42,confidence,0.5185,0.0004,0.0103,0.5194
scratch,42,entropy,0.5176,0.0004,0.01,0.5184
scratch,123,loss,0.5239,0.0004,0.0083,0.5194
scratch,123,confidence,0.5079,0.0004,0.0083,0.508
scratch,123,entropy,0.5089,0.0004,0.009,0.5145
scratch,2026,loss,0.5123,0.0007,0.0108,0.5095
scratch,2026,confidence,0.504,0.0007,0.0108,0.512
scratch,2026,entropy,0.5041,0.0007,0.0111,0.5145
frozen,42,loss,0.5165,0.0004,0.0111,0.5135
frozen,42,confidence,0.504,0.0004,0.0111,0.508
frozen,42,entropy,0.5039,0.0004,0.0108,0.5015
frozen,123,loss,0.517,0.0007,0.0101,0.505
frozen,123,confidence,0.5055,0.0007,0.0101,0.5105
frozen,123,entropy,0.505,0.0007,0.0104,0.5075
frozen,2026,loss,0.5156,0.0011,0.0094,0.504
frozen,2026,confidence,0.5035,0.0011,0.0094,0.508
frozen,2026,entropy,0.5032,0.0011,0.0096,0.51
partial,42,loss,0.7169,0.0,0.0,0.7298
partial,42,confidence,0.7142,0.0,0.0,0.7233
partial,42,entropy,0.7143,0.0059,0.0181,0.7253
partial,123,loss,0.6299,0.0011,0.0121,0.6351
partial,123,confidence,0.6216,0.0011,0.0121,0.6296
partial,123,entropy,0.6216,0.001,0.0118,0.6271
partial,2026,loss,0.6911,0.0051,0.0141,0.6974
partial,2026,confidence,0.688,0.0051,0.0141,0.6924
partial,2026,entropy,0.6877,0.0053,0.0154,0.6914
full,42,loss,0.6957,0.0,0.0,0.6969
full,42,confidence,0.693,0.0,0.0,0.6944
full,42,entropy,0.6945,0.0124,0.0344,0.6969
full,123,loss,0.7003,0.0,0.0,0.6924
full,123,confidence,0.6978,0.0,0.0,0.6889
full,123,entropy,0.6987,0.0077,0.037,0.6874
full,2026,loss,0.6981,0.0,0.0,0.7024
full,2026,confidence,0.6967,0.0,0.0,0.6979
full,2026,entropy,0.697,0.0094,0.0313,0.6974
