regime,seed,train_acc,test_acc,test_auc,acc_gap,loss_gap,loss_mia_auc,entr_mia_auc,entr_tpr1,loss_tpr1
scratch,42,0.8651348651348651,0.7685785536159601,0.9298391042882174,0.096556,0.245487,0.5389,0.5176,0.01,0.0103
scratch,123,0.8188953903239617,0.7645885286783043,0.936196937127118,0.054307,0.154746,0.5239,0.5089,0.009,0.0083
scratch,2026,0.7882117882117882,0.7516209476309227,0.9278469545355514,0.036591,0.08494,0.5123,0.5041,0.0111,0.0108
frozen,42,0.8171828171828172,0.7685785536159601,0.929936374240424,0.048604,0.115789,0.5165,0.5039,0.0108,0.0111
frozen,123,0.8206079634651063,0.774064837905237,0.9307171845413553,0.046543,0.110629,0.517,0.505,0.0104,0.0101
frozen,2026,0.818752675895533,0.7760598503740649,0.9308259093960836,0.042693,0.108893,0.5156,0.5032,0.0096,0.0094
partial,42,1.0,0.8498753117206983,0.965823253045581,0.150125,0.647215,0.7169,0.7143,0.0181,0.0
partial,123,0.9972884258598544,0.8493765586034913,0.9669222834155689,0.147912,0.485927,0.6299,0.6216,0.0118,0.0121
partial,2026,1.0,0.8543640897755611,0.9685156065732757,0.145636,0.531982,0.6911,0.6877,0.0154,0.0141
full,42,1.0,0.8703241895261845,0.969179773762779,0.129676,0.643352,0.6957,0.6945,0.0344,0.0
full,123,1.0,0.8753117206982544,0.978018344259415,0.124688,0.553482,0.7003,0.6987,0.037,0.0
full,2026,1.0,0.8698254364089776,0.9741845736172466,0.130175,0.585561,0.6981,0.697,0.0313,0.0
